stop_id,stop_code,stop_name,stop_lat,stop_lon
823,823,15th St @ Hanna Av,28.003466,-82.443028
824,824,15th St @ Idlewild Av,28.001655,-82.443028
825,825,15th St @ Henry Av,27.999808,-82.443048
826,826,15th St @ Comanche Av,27.997997,-82.443028
827,827,15th St @ Hillsborough Av,27.996312,-82.443028
828,828,15th St @ Frierson Av,27.994474,-82.443028
829,829,15th St @ Wilder Av,27.992508,-82.443048
830,830,15th St @ Ellicott St,27.991313,-82.443048
831,831,15th St @ New Orleans Av,27.990317,-82.443027
832,832,15th St @ Osborne Av,27.988881,-82.44298
833,833,15th St @ Cayuga St,27.986386,-82.443037
834,834,15th St @ Chelsea St,27.985254,-82.443037
835,835,15th St @ North Bay St,27.983407,-82.443027
836,836,15th St @ M L King Jr Blvd,27.981725,-82.442996
837,837,15th St @ 31St Av,27.978801,-82.442998
838,838,Busch Blvd @ Busch Plaza,28.032765,-82.402543
839,839,Busch Blvd @ Temple St,28.032741,-82.407279
840,840,Busch Blvd @ 46th St,28.032732,-82.409661
841,841,Busch Blvd @ 42nd St,28.032734,-82.411901
842,842,Busch Blvd @ 40th St,28.032724,-82.41583
847,847,Busch Blvd @ 26th St,28.032674,-82.430231
849,849,Busch Blvd @ 22nd St,28.032698,-82.433939
851,851,Busch Blvd @ 19th St,28.032667,-82.437362
852,852,Busch Blvd @ Elmer St,28.032695,-82.439792
855,855,Busch Blvd @ 12th St,28.032907,-82.446895
857,857,Busch Blvd @ Ola Av,28.03304,-82.463815
858,858,Busch Blvd @  N Boulevard,28.033259,-82.467549
859,859,Busch Blvd @ Florida Av,28.032864,-82.459974
860,860,Busch Blvd @ Ola Av,28.032804,-82.463754
862,862,Busch Blvd @ 12th St,28.032644,-82.447265
867,867,Busch Blvd @ 22nd St,28.032391,-82.43478
869,869,Busch Blvd @ 26th St,28.032408,-82.43022
874,874,Busch Blvd @ 37th Av,28.032452,-82.417887
878,878,Busch Blvd @ 46th St,28.032459,-82.410205
879,879,Busch Blvd @ Temple Av,28.032458,-82.407043
881,881,Fletcher Av @ Livingston Av,28.069296,-82.427179
886,886,Fletcher Av @ 19th St,28.069272,-82.438499
887,887,Fletcher Av @ Winward Dr,28.069281,-82.440081
888,888,Fletcher Av @ 15th St,28.069272,-82.443477
889,889,Fletcher Av @ Cecelia St,28.06928,-82.445667
890,890,Fletcher Av @ 12th St,28.06928,-82.446762
892,892,Fletcher Av @ Nebraska Av,28.069316,-82.450787
893,893,Fletcher Av @ Summit Av,28.069316,-82.453028
894,894,Fletcher Av @ Central Av,28.069343,-82.45615
898,898,Fletcher Av @ Ola Av,28.069403,-82.463249
899,899,Fletcher Av @  N Boulevard,28.069348,-82.467274
900,900,Fletcher Av @ Rome Av,28.069443,-82.47535
903,903,Fletcher Av @ Greentree Dr,28.069391,-82.478141
906,906,Fletcher Av @ Lake George Ln,28.065855,-82.485475
907,907,Fletcher @ Park At Lake Magdalene,28.065853,-82.488898
910,910,Fletcher Av @ Reseda Ct,28.06584,-82.49302
911,911,Fletcher Av @ Orange Grove Dr,28.06572,-82.50029
913,913,Fletcher Av @ Paddock Av,28.065716,-82.490289
914,914,Fletcher @ Park At Lake Magdalene,28.065674,-82.488926
915,915,Fletcher Av @ Sebring Blvd,28.06571,-82.48768
917,917,Fletcher Av @ Armenia Av,28.066084,-82.483617
920,920,Fletcher Av @ Rome Av,28.069306,-82.47605
921,921,Fletcher Av @ Forest Hills Dr,28.069303,-82.473856
923,923,Fletcher Av @ N Boulevard,28.069082,-82.467876
924,924,Fletcher Av @ Ola Av,28.069259,-82.46362
928,928,Fletcher Av @ Summit Av,28.069201,-82.453374
930,930,Fletcher Av @ Nebraska Av Es,28.069183,-82.45034
931,931,Fletcher Av @ 15th St,28.069154,-82.4431
935,935,Fletcher Av @ 19th St,28.069147,-82.43886
936,936,Fletcher Av @ 20th St,28.069152,-82.436751
937,937,Fletcher Av @ 22nd St,28.06914,-82.434838
938,938,Fletcher Av @ Livingston Av East,28.069132,-82.429987
941,941,N Boulevard @ Laurel St,27.955358,-82.468326
943,943,N Boulevard @ West St,27.970491,-82.467619
944,944,N Boulevard @ Virginia Av,27.97963,-82.46762
947,947,N Boulevard @ Lowry Ln,28.013555,-82.467719
950,950,N Boulevard @ Kirby St,28.017961,-82.467711
951,951,N Boulevard @ Hollywood St,28.019437,-82.467681
952,952,N Boulevard @ Ola Av,28.020524,-82.467682
953,953,N Boulevard @ Sitka St,28.021955,-82.467672
954,954,N Boulevard @ Waters Av South,28.025034,-82.467632
955,955,N Boulevard @ Waters Av North,28.02613,-82.467613
956,956,N Boulevard @ Yukon St,28.028855,-82.467644
957,957,N Boulevard @ Humphrey St,28.030784,-82.467655
960,960,N Boulevard @ Patbur Av,28.03667,-82.467657
961,961,N Boulevard @ Linebaugh Av,28.039767,-82.467637
963,963,N Boulevard @ Bougainvillea Av,28.043525,-82.467608
965,965,N Boulevard @ Seneca Av,28.045372,-82.467609
966,966,N Boulevard @ 109th Av,28.047183,-82.467589
968,968,N Boulevard @ 116th Av,28.053522,-82.46751
1003,1003,N Boulevard @ Cliff Circle,28.045318,-82.467791
1004,1004,N Boulevard @ Newport Circle,28.042221,-82.467811
1006,1006,N Boulevard @ Linebaugh Av,28.040455,-82.467783
1008,1008,N Boulevard @ Perdiz St,28.038547,-82.467761
1010,1010,N Boulevard @ Forest Hills Dr,28.034613,-82.467833
1011,1011,N Boulevard @ El Portal Dr,28.031997,-82.467804
1012,1012,N Boulevard @ Humphrey St,28.031034,-82.46778
1013,1013,N Boulevard @ Yukon St,28.029072,-82.467836
1014,1014,N Boulevard @ Waters Av,28.025972,-82.467774
1015,1015,N Boulevard @ Sitka St,28.021873,-82.467854
1017,1017,N Boulevard @ Kirby St,28.018187,-82.467834
1021,1021,N Boulevard @ Lowry Park,28.01366,-82.467912
1023,1023,N Boulevard @ Virginia Av,27.979856,-82.467692
1024,1024,N Boulevard @ Indiana Av,27.97813,-82.46769
1025,1025,N Boulevard @ Peninsular St,27.97639,-82.46768
1026,1026,N Boulevard @ Plymouth St,27.973905,-82.46771
1029,1029,N Boulevard @ Cypress St,27.952612,-82.468536
1032,1032,Himes Av @ Beach St,27.962982,-82.501307
1033,1033,Himes Av @ St John St,27.964612,-82.501322
1034,1034,Himes Av @ Columbus Dr,27.966463,-82.501394
1035,1035,Himes Av @ Columbus Dr,27.967159,-82.501354
1036,1036,Himes Av @ IVy St,27.969758,-82.501356
1037,1037,Himes Av @ Leroy St,27.971757,-82.501397
1038,1038,Himes Av @ Tampa Bay Blvd,27.973689,-82.501372
1039,1039,Himes Av @ Heiter St,27.974918,-82.501374
1040,1040,Himes Av @ Woodlawn Av,27.976126,-82.501372
1048,1048,Himes Av @ Sunrise Villas Ct,28.005061,-82.500764
1049,1049,Himes Av @ Lambright St,28.006863,-82.500755
1050,1050,Himes Av @ Minnehaha St,28.008683,-82.500726
1051,1051,Himes Av @ Sligh Av,28.010712,-82.500717
1052,1052,Himes Av @ Carlton Arms Dr,28.013428,-82.500699
1053,1053,Himes Av @ Hamilton St,28.014325,-82.500679
1055,1055,Himes Av @ Townhouse Ct,28.018708,-82.500652
1056,1056,Himes Av @ Sitka St,28.021343,-82.500623
1058,1058,Himes Av @ Waters Av,28.025264,-82.500657
1061,1061,Himes Av @ Kenyon Av,28.032472,-82.500642
1064,1064,Himes Av @ Humphrey St,28.028475,-82.500805
1065,1065,Himes Av @ Kenyon Av,28.032529,-82.500801
1068,1068,Himes Av @ Waters Av,28.025735,-82.500801
1071,1071,Himes Av @ Townhouse Ct,28.01888,-82.500824
1075,1075,Himes Av @ Sligh Av,28.010865,-82.500889
1076,1076,Himes Av @ Minnehaha Av,28.008719,-82.500908
1077,1077,Himes Av @ Lambright St,28.007515,-82.500928
1081,1081,Himes Av @ Hillsborough Av,27.996249,-82.501021
1082,1082,Himes Av @ Hillsborough Av,27.995751,-82.501051
1085,1085,Himes Av @ M L King Blvd,27.982586,-82.501429
1095,1095,Himes Av @ Palmetto St,27.962502,-82.501494
1096,1096,Himes Av @ Pine St,27.961358,-82.501497
1097,1097,Himes Av @ Spruce St,27.959659,-82.501514
1104,1104,M L King Jr Blvd @ Lake Av,27.981499,-82.403075
1107,1107,M L King Jr Blvd @ 39th St,27.981529,-82.416124
1108,1108,M L King Jr Blvd @ 37th St,27.981524,-82.418155
1109,1109,M L King Jr Blvd @ 36th St,27.981524,-82.419785
1110,1110,M L King Jr Blvd @ 34th St,27.981553,-82.422126
1111,1111,M L King Jr Blvd @ 31St St,27.981552,-82.42531
1113,1113,M L King Jr Blvd @ 26th St,27.981531,-82.430488
1114,1114,M L King Jr Blvd @ 24th St,27.981544,-82.432597
1116,1116,M L King Jr Blvd @ 20th St,27.981553,-82.43741
1119,1119,M L King Jr Blvd @ 15th St,27.98156,-82.44273
1120,1120,M L King Jr Blvd @ 13th St,27.981563,-82.444863
1121,1121,M L King Jr Blvd @ 12th St,27.981572,-82.446932
1122,1122,M L King Jr Blvd @ 10th St,27.981553,-82.449062
1124,1124,M L King Jr Blvd @ Central Av,27.98159,-82.455079
1125,1125,M L King Jr Blvd @ Branch Av,27.981588,-82.45719
1129,1129,M L King Jr Blvd @ Highland Av,27.981588,-82.462436
1130,1130,M L King Jr Blvd @ Lynn Av,27.981593,-82.46529
1131,1131,M L King Jr Blvd @ N Boulevard,27.981639,-82.467422
1133,1133,M L King Jr Blvd @ Myrtle Av,27.981619,-82.469571
1134,1134,M L King Jr Blvd @ Poplar Av,27.981627,-82.471543
1135,1135,M L King Jr Blvd @ Riverside Dr,27.981632,-82.473047
1136,1136,M L King Jr Blvd @ 1931,27.981342,-82.479417
1140,1140,M L King Jr Blvd @ Tampania Av,27.981384,-82.48629
1141,1141,M L King Jr Blvd @ Habana Av,27.981439,-82.488684
1149,1149,M L King Jr Blvd @ Gomez Av,27.981175,-82.491601
1150,1150,M L King Jr Blvd @ Habana Av Es,27.981158,-82.488107
1151,1151,M L King Jr Blvd @ Tampania Av,27.981132,-82.486344
1152,1152,M L King Jr Blvd @ Armenia Av    Ws,27.981151,-82.484906
1153,1153,M L King Blvd @ Armenia Av Es,27.981151,-82.484177
1154,1154,M L King Jr Blvd @ Howard Av,27.981197,-82.483336
1156,1156,M L King Jr Blvd @ St Isabel St,27.98118,-82.479012
1157,1157,M L King Jr Blvd @ Poplar Av,27.981482,-82.471791
1158,1158,M L King Jr Blvd @ Myrtle Av,27.981464,-82.469714
1160,1160,M L King Jr Blvd @ Lynn Av,27.981515,-82.465738
1161,1161,M L King Jr Blvd @ Highland Av,27.981505,-82.462247
1163,1163,M L King Jr Blvd @ Suwanee Av,27.981376,-82.458108
1165,1165,M L King Jr Blvd @ Central Av,27.98135,-82.455586
1166,1166,M L King Jr Blvd @ Nebraska Av,27.981332,-82.451393
1167,1167,M L King Jr Blvd @ 10th St,27.981341,-82.449458
1168,1168,M L King Jr Blvd @ 12th St,27.981369,-82.44722
1169,1169,M L King Jr  Blvd @ 13th St,27.981378,-82.445063
1170,1170,M L King Jr Blvd @ 15th St,27.981314,-82.443148
1171,1171,M L King Jr Blvd @ 17th St,27.981278,-82.440211
1178,1178,M L King Jr Blvd @ 31St St,27.98135,-82.425394
