stop_lat,zone_id,stop_lon,stop_url,stop_id,stop_desc,stop_name,location_type
27.337545,merged_90841,-82.486231,,751_merged_89647,,FRUITVILLE RD @ MIMOSA DR,
27.287689,merged_90841,-82.514084,,918_merged_89622,,SWIFT RD @ JAMAICA ST,
27.21814,merged_90840,-82.490162,,959_merged_88114,S TAMIAMI TRL & VAMO WAY,US 41 @ VAMO WY,0
27.29883,merged_90840,-82.476733,,3406_merged_88462,,BEE RIDGE RD @ OAKHURST BLVD,0
27.169223,merged_90841,-82.477808,,815_merged_89240,,US S41 @ SHORELAND DR,
27.365968,merged_90841,-82.53484,,528_merged_89281,,35TH ST @ OSPREY AV,
27.261632,merged_90841,-82.540419,,626_merged_88899,,MIDNIGHT PASS RD @ DERBY LN,
27.343965,merged_90840,-82.497382,,1756_merged_86766,,BENEVA RD @ SARASOTA COMMONS,0
27.388993,merged_90841,-82.539964,,3642_merged_89603,,UNIVERSITY PKWY @ SUNHYDRALICS,
27.269078,merged_90841,-82.465802,,3722_merged_90068,,CLARK RD @ HONORE AVE,
27.388443,merged_90840,-82.464948,,1287_merged_86778,UNIVERSITY PKWY & N HONORE AVE,UNIVERSITY PW @ HONORE AV,0
27.26935,merged_90840,-82.491852,,1432_merged_88369,,CLARK RD @ LAMBERT PL,0
27.284118,merged_90841,-82.481088,,4157_merged_89582,,MCINTOSH RD @ PROCTOR RD SOUTHBOUND,
27.21843,merged_90840,-82.490594,,882_merged_87861,S TAMIAMI TRL & VAMO WAY,US 41 @ VAMO WY,0
27.099639,merged_90841,-82.417951,,2619_merged_89772,,E VENICE AV @ PEACH ST,
27.299238,merged_90841,-82.458096,,756_merged_89649,,WOODMONT DR @ HAYDEN BV,
27.05306,merged_90841,-82.242192,,3845_merged_89864,,PAN AMERICAN @ AVANTI CIR,
27.096934,merged_90841,-82.433657,,2965,,US 41 BY @ GROVELAND AV,
26.96036,merged_90841,-82.35314,,2710_merged_89324,,INDIANA AV @ LANGSNER ST,
27.074027,merged_90840,-82.416894,,2835_merged_88359,333 SHAMROCK BLVD & BAMBOO DR,SHAMROCK BV @ BAMBOO DR,0
27.328575,merged_90840,-82.537287,,1734_merged_87552,MOUND ST & HUDSON AVE,US 41 @ HUDSON AV,0
27.295059,merged_90840,-82.514088,,922_merged_87385,,SWIFT RD @ MAIDEN LN,0
27.326913,merged_90840,-82.514492,,414_merged_86951,,BROWNING ST @ TUTTLE AV,0
27.388228,merged_90840,-82.462798,,1370_merged_86811,,UNIVERSITY PW @ HONORE AV,0
27.29866,merged_90841,-82.483625,,1969_merged_88998,,BEE RIDGE RD @ STRATMORE BLVD,
27.061215,merged_90840,-82.417969,,2843_merged_87054,W SEMINOLE DR & GENTIAN RD,SEMINOLE DR @ DATURA RD,0
27.341017,merged_90841,-82.497377,,129_merged_90557,,BENEVA RD @ CIRCUS BV,
27.302287,merged_90840,-82.533662,,789_merged_87418,,OSPREY AV @ TULIP DR,0
27.350197,merged_90840,-82.505725,,1235_merged_87192,,LOCKWOOD RIDGE RD @ 15TH ST,0
