Count,GTFS_Stop_ID,Route,Gtfs_Lat,Gtfs_Lon,Osm_Lat,Osm_Lon,Location_Displacement,Tags_not_in_GTFS,Version_History
46,4604,6,28.066453,-82.413144,28.0671289,-82.4131028,75.01300648657494,source=survey|bench=yes|name=North Palm Dr @  Usf Credit Union|gtfs_stop_code=4604|operator=Hillsborough Area Regional Transit;USF Bull Runner|route_ref=6;A;B;C|ntd_id=4041|shelter=yes|highway=bus_stop|gtfs_id=4604|shade=roof|,version 1 = EdHillsman(changeset = 4049510)|version 2 = EdHillsman(changeset = 5152163)|version 3 = EdHillsman(changeset = 5292138)|version 4 = EdHillsman(changeset = 5305859)|version 5 = ktran9(changeset = 5547725)|version 6 = ktran9(changeset = 5558153)|version 7 = EdHillsman(changeset = 6731522)|version 8 = EdHillsman(changeset = 6735619)
47,4603,6,28.06577,-82.409958,28.0658117,-82.4098152,14.778633263818813,source=survey|bench=no|name=Holly Dr @ Delta Apts|gtfs_stop_code=4603|operator=Hillsborough Area Regional Transit;USF Bull Runner|route_ref=6;A;C|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=4603|note=metal tag with GTFS ID value is missing from post; value assigned is from the HART import|shade=trees|wastebasket=yes|,version 1 = EdHillsman(changeset = 4085804)|version 2 = EdHillsman(changeset = 5126351)|version 3 = EdHillsman(changeset = 5126351)|version 4 = EdHillsman(changeset = 5353963)|version 5 = ktran9(changeset = 5547673)|version 6 = ktran9(changeset = 5558153)|version 7 = EdHillsman(changeset = 6735619)|version 8 = EdHillsman(changeset = 6852503)
48,4601,6,28.066095,-82.401875,28.0662122,-82.4017507,17.832388133550758,source=survey|name=50th St @ Excellence Blvd|gtfs_stop_code=4601|operator=Hillsborough Area Regional Transit|route_ref=6|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=4601|shade=trees|,version 1 = EdHillsman(changeset = 4767761)|version 2 = EdHillsman(changeset = 5126351)|version 3 = EdHillsman(changeset = 5236344)|version 4 = EdHillsman(changeset = 5278631)|version 5 = ktran9(changeset = 5282592)|version 6 = ktran9(changeset = 5282878)|version 7 = ktran9(changeset = 5547673)|version 8 = ktran9(changeset = 5557830)|version 9 = EdHillsman(changeset = 8730640)
49,4600,6,28.063453,-82.401853,28.0634675,-82.4017881,6.579192188516128,bench=yes|name=50th St @ Sycamore Dr|gtfs_stop_code=4600|operator=Hillsborough Area Regional Transit|route_ref=6|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=4600|shade=no|,version 1 = EdHillsman(changeset = 4743990)|version 2 = EdHillsman(changeset = 5126351)|version 3 = EdHillsman(changeset = 5236344)|version 4 = EdHillsman(changeset = 5278631)|version 5 = ktran9(changeset = 5282592)|version 6 = ktran9(changeset = 5282878)|version 7 = EdHillsman(changeset = 5295548)|version 8 = ktran9(changeset = 5557830)|version 9 = EdHillsman(changeset = 8730640)
50,1996,6;39,28.028034,-82.393314,28.0281256,-82.3933266,10.226441756847825,source=GO_Sync|bench=no|name=56th St @ Chicago Av|gtfs_stop_code=1996|operator=Hillsborough Area Regional Transit|route_ref=6;39|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=1996|note=revisit when road/sidewalk reconstruction is done|shade=no|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)|version 3 = EdHillsman(changeset = 6760922)
51,1995,6;39,28.027011,-82.393294,28.0269087,-82.3933374,12.11359544586168,source=GO_Sync|bench=no|name=56th St @ River Hills Dr|gtfs_stop_code=1995|operator=Hillsborough Area Regional Transit|route_ref=6;39|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=1995|note=revisit when road/sidewalk reconstruction is done|shade=no|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)|version 3 = EdHillsman(changeset = 6760922)
52,0890,2,28.06928,-82.446762,28.0693716,-82.4468122,11.287002725715208,operator=Hillsborough Area Regional Transit|name=Fletcher Av @ 12th St|gtfs_stop_code=890|highway=bus_stop|ntd_id=4041|route_ref=2|source=GO_Sync|gtfs_id=0890|,version 1 = ktran9(changeset = 5282878)|version 2 = EdHillsman(changeset = 5295548)|version 3 = EdHillsman(changeset = 5305458)|version 4 = ktran9(changeset = 5557830)
53,0889,2,28.06928,-82.445667,28.0693647,-82.4457456,12.157383429314404,bench=no|name=Fletcher Av @ Cecelia St|gtfs_stop_code=889|operator=Hillsborough Area Regional Transit|route_ref=2|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=0889|shade=trees|,version 1 = EdHillsman(changeset = 5252803)|version 2 = EdHillsman(changeset = 5295548)|version 3 = ktran9(changeset = 5557830)
54,0888,2,28.069272,-82.443477,28.0693436,-82.4435407,10.107838756325553,bench=yes|name=Fletcher Av @ 15th St|gtfs_stop_code=888|operator=Hillsborough Area Regional Transit|route_ref=2|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=0888|note=there are trees behind this stopbut placement and size does not provide shade to stop except +/- 1 month of summer solstice|shade=no|route=2|,version 1 = EdHillsman(changeset = 5252803)|version 2 = EdHillsman(changeset = 5252803)|version 3 = EdHillsman(changeset = 5305458)|version 4 = ktran9(changeset = 5557830)
55,0886,2,28.069272,-82.438499,28.0693548,-82.4384759,9.452725910010965,bench=yes|name=Fletcher Av @ 19th St|gtfs_stop_code=886|operator=Hillsborough Area Regional Transit|route_ref=2|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=0886|shade=no|,version 1 = EdHillsman(changeset = 5252803)|version 2 = ktran9(changeset = 5282592)|version 3 = ktran9(changeset = 5282878)|version 4 = EdHillsman(changeset = 5305458)|version 5 = ktran9(changeset = 5557830)
56,0881,6,28.069296,-82.427179,28.0693479,-82.4273233,15.306255974590648,source=GO_Sync|bench=no|name=Fletcher Av @ Livingston Av|gtfs_stop_code=881|operator=Hillsborough Area Regional Transit|route_ref=6|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=0881|note=field checked after upload|shade=no|,version 1 = ktran9(changeset = 5282878)|version 2 = EdHillsman(changeset = 5294446)|version 3 = EdHillsman(changeset = 5305458)|version 4 = EdHillsman(changeset = 5305458)|version 5 = ktran9(changeset = 5557830)
57,1949,89;574;89,27.911369,-82.50616,27.911403,-82.506254,9.991242905587816,operator=Hillsborough Area Regional Transit|name=El Prado Blvd @ Dale Mabry Hwy|gtfs_stop_code=1949|highway=bus_stop|ntd_id=4041|source=GO_Sync|route_ref=89|gtfs_id=1949|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)
