stop_id,stop_code,stop_name,stop_lat,stop_lon,OSM_TAGs
0651,651,Florida Av @ Fern St,28.005118,-82.459526,ntd_id=4041|route_ref=1
0652,652,Florida Av @ Hanna Av,28.003503,-82.459506,ntd_id=4041|route_ref=1
0653,653,Florida Av @ Idlewild Av,28.00185,-82.459487,ntd_id=4041|route_ref=1
0654,654,Florida Av @ Henry Av,27.999515,-82.459479,ntd_id=4041|route_ref=1
0656,656,Florida Av @ Hillsborough Av,27.995439,-82.459505,ntd_id=4041|route_ref=1
0657,657,Florida Av @ Wilder Av,27.992588,-82.459488,ntd_id=4041|route_ref=1
0661,661,22nd St @ 17th Av,27.96772,-82.434662,ntd_id=4041|route_ref=12
0662,662,22nd St @ 19th Av,27.968716,-82.434642,ntd_id=4041|route_ref=12
0663,663,22nd St @ 21St Av,27.970229,-82.434672,ntd_id=4041|route_ref=12
0664,664,22nd St @ 23Rd Av,27.972249,-82.434662,ntd_id=4041|route_ref=12
0665,665,22nd St @ 26th Av,27.974459,-82.434672,ntd_id=4041|route_ref=12
0667,667,22nd St @ Lake Av,27.97733,-82.434682,ntd_id=4041|route_ref=12
0668,668,22nd St @ M L King Jr Blvd,27.981308,-82.434744,ntd_id=4041|route_ref=12
0670,670,22nd St @ North Bay St,27.983189,-82.434641,ntd_id=4041|route_ref=12
0671,671,22nd St @ Chelsea St,27.984892,-82.434661,ntd_id=4041|route_ref=12
0672,672,22nd St @ Cayuga St,27.986431,-82.434651,ntd_id=4041|route_ref=12
0674,674,22nd St @ Mc Berry St,27.993595,-82.434671,ntd_id=4041|route_ref=12
0675,675,22nd St @ Hillsborough Av,27.996593,-82.43463,ntd_id=4041|route_ref=12
0677,677,22nd St @ Henry Av,27.999418,-82.43462,ntd_id=4041|route_ref=12
0679,679,22nd St @ Idlewild Av,28.001628,-82.43466,ntd_id=4041|route_ref=12
0680,680,22nd St @ Hanna Av,28.003231,-82.43464,ntd_id=4041|route_ref=12
0681,681,22nd St @ Fern St,28.00468,-82.434619,ntd_id=4041|route_ref=12
0682,682,22nd St @ Diana St,28.00689,-82.434629,ntd_id=4041|route_ref=12
0683,683,22nd St @ Sligh Av,28.010376,-82.434599,ntd_id=4041|route_ref=12
0685,685,22nd St @ Busch Blvd,28.033278,-82.434547,ntd_id=4041|route_ref=12
0687,687,22nd St @ Okara Rd,28.036891,-82.434547,ntd_id=4041|route_ref=12
0688,688,22nd St @ Linebaugh Av,28.03968,-82.434557,ntd_id=4041|route_ref=12
0689,689,22nd St @ Poinsettia Av,28.041591,-82.434547,ntd_id=4041|route_ref=12
0690,690,22nd St @ Bougainvillea Av,28.043411,-82.434536,ntd_id=4041|route_ref=12
0691,691,22nd St @ 109th Av,28.047024,-82.434526,ntd_id=4041|route_ref=12
0692,692,22nd St @ 111th Av,28.049016,-82.434526,ntd_id=4041|route_ref=12
0693,693,22nd St @ 113th Av,28.050682,-82.434526,ntd_id=4041|route_ref=12
0695,695,22nd St @ Fowler Av,28.053675,-82.434559,route_ref=12|shade=no|ntd_id=4041|shelter=no|bench=yes
0698,698,22nd St @ 131St Av,28.065299,-82.434529,ntd_id=4041|route_ref=12;45
0701,701,22nd St @ 132nd Av,28.067261,-82.434484,ntd_id=4041|route_ref=1
0702,702,22nd St @ 133Rd Av,28.068131,-82.434484,ntd_id=4041|route_ref=1
0703,703,22nd St @ Fletcher Av,28.068897,-82.434525,ntd_id=4041|route_ref=1
0705,705,22nd St @ Aimee Ct,28.078308,-82.434707,ntd_id=4041|route_ref=1
0708,708,22nd St @ Rae Ct,28.079114,-82.434565,ntd_id=4041|route_ref=1
0715,715,22nd St @ Fletcher Av,28.069661,-82.434677,ntd_id=4041|route_ref=1;33
0717,717,22nd St @ 131St Av,28.065156,-82.434615,ntd_id=4041|route_ref=12;45
0720,720,22nd St @ 115th Av,28.051947,-82.434624,ntd_id=4041|route_ref=12
0722,722,22nd St @ 111th Av,28.049577,-82.434708,ntd_id=4041|route_ref=12
0723,723,22nd St @ 109th Av,28.047312,-82.434633,ntd_id=4041|route_ref=12
0724,724,22nd St @ Marvy Av,28.04578,-82.43464,ntd_id=4041|route_ref=12
0725,725,22nd St @ Bougainvillea Av,28.043693,-82.434643,ntd_id=4041|route_ref=12
0727,727,22nd St @ Diana St,28.007188,-82.434802,ntd_id=4041|route_ref=12
0730,730,22nd St @ Idlewild Av,28.001583,-82.434843,ntd_id=4041|route_ref=12
0731,731,22nd St @ Henry Av,27.99981,-82.434753,ntd_id=4041|route_ref=12
0732,732,22nd St @ Hillsborough Av,27.996819,-82.434786,ntd_id=4041|route_ref=12
0733,733,22nd St @ Giddens Av,27.995398,-82.434779,ntd_id=4041|route_ref=12
0734,734,22nd St @ Shadowlawn Av,27.993441,-82.434853,ntd_id=4041|route_ref=12
0737,737,22nd St @ Osborne Av,27.988968,-82.434775,ntd_id=4041|route_ref=12
0738,738,22nd St @ Chelsea St,27.985279,-82.434773,ntd_id=4041|route_ref=12
0741,741,22nd St @ M L King Jr Blvd,27.982085,-82.434818,ntd_id=4041|route_ref=12
0743,743,22nd St @ 31St Av,27.978556,-82.434807,ntd_id=4041|route_ref=12
0744,744,22nd St @ Lake Av,27.977283,-82.43481,ntd_id=4041|route_ref=12
0753,753,22nd St @ Chapin St,27.943709,-82.434795,ntd_id=4041|route_ref=46
0754,754,22nd St @ Flagler St,27.941635,-82.434795,ntd_id=4041|route_ref=46
0755,755,22nd St @ Oakwood Av,27.939642,-82.434775,ntd_id=4041|route_ref=46
0760,760,15th St @ 11th Av,27.963038,-82.442864,ntd_id=4041|route_ref=18
0763,763,15th St @ 15th Av,27.965873,-82.442874,ntd_id=4041|route_ref=9;18
0764,764,15th St @ Columbus Dr,27.966715,-82.442874,ntd_id=4041|route_ref=9;18
0765,765,15th St @ 17th Av,27.967327,-82.442925,ntd_id=4041|route_ref=9;18
0766,766,15th St @ 19th Av,27.968626,-82.442928,ntd_id=4041|route_ref=9;18
0767,767,15th St @ 21St Av,27.970374,-82.442933,ntd_id=4041|route_ref=9;18
0768,768,15th St @ 24th Av,27.972222,-82.442949,ntd_id=4041|route_ref=9
0769,769,15th St @ 26th Av,27.974069,-82.442854,ntd_id=4041|route_ref=9
0770,770,15th St @ 28th Av,27.975899,-82.442824,ntd_id=4041|route_ref=9
0771,771,15th St @ Rodney St,27.977402,-82.442814,ntd_id=4041|route_ref=9
0772,772,15th St @ 32nd Av,27.979485,-82.44289,ntd_id=4041|route_ref=9
0774,774,15th St @ North Bay St,27.983198,-82.442845,ntd_id=4041|route_ref=9
0775,775,15th St @ Chelsea St,27.985019,-82.442855,ntd_id=4041|route_ref=9
0776,776,15th St @ Cayuga St,27.986875,-82.442855,ntd_id=4041|route_ref=9
0777,777,15th St @ Osborne Av,27.988623,-82.442845,ntd_id=4041|route_ref=9
0778,778,15th St @ New Orleans Av,27.990117,-82.442835,ntd_id=4041|route_ref=9
0779,779,15th St @ Ellicott St,27.991186,-82.442855,ntd_id=4041|route_ref=9
0780,780,15th St @ Wilder Av,27.992409,-82.442865,ntd_id=4041|route_ref=9
0781,781,15th St @ Frierson Av,27.994129,-82.442855,ntd_id=4041|route_ref=9
0782,782,15th St @ Hillsborough Av,27.995588,-82.442845,ntd_id=4041|route_ref=9
0783,783,15th St @ Comanche Av,27.997797,-82.442845,ntd_id=4041|route_ref=9
0784,784,15th St @ Henry Av,27.99959,-82.442856,ntd_id=4041|route_ref=9
0785,785,15th St @ Idlewild Av,28.001492,-82.442856,ntd_id=4041|route_ref=9
0786,786,15th St @ Hanna Av,28.003168,-82.442846,ntd_id=4041|route_ref=9
0787,787,15th St @ North St,28.005033,-82.442846,ntd_id=4041|route_ref=9
0788,788,15th St @ Diana St,28.007252,-82.442866,ntd_id=4041|route_ref=9
0789,789,15th St @ Escort Av,28.009625,-82.442866,ntd_id=4041|route_ref=9
0790,790,15th St @ Sligh Av,28.010403,-82.442876,ntd_id=4041|route_ref=9
0791,791,15th St @ Poinsettia Av,28.041627,-82.442797,ntd_id=4041|route_ref=9
0792,792,15th St @ Bougainvillea Av,28.043429,-82.442797,ntd_id=4041|route_ref=9
0793,793,15th St @ Charm Ln,28.045638,-82.442787,ntd_id=4041|route_ref=9
0794,794,15th St @ 109th Av,28.04706,-82.442787,ntd_id=4041|route_ref=9
0797,797,15th St @ Fowler Av,28.053987,-82.442767,ntd_id=4041|route_ref=9
0799,799,15th St @ 122nd Av,28.057863,-82.442757,ntd_id=4041|route_ref=9
0801,801,15th St @ 127th Av,28.061756,-82.442747,ntd_id=4041|route_ref=9
0802,802,15th St @ 130th Av,28.0645,-82.442737,ntd_id=4041|route_ref=9
0807,807,15th St @ 127th Av,28.062077,-82.442864,ntd_id=4041|route_ref=9
0808,808,15th St @ 124th Av,28.060313,-82.44287,ntd_id=4041|route_ref=9
0809,809,15th St @ 122nd Av,28.058403,-82.442881,ntd_id=4041|route_ref=9
0810,810,15th St @ Fowler Av S,28.053306,-82.442921,ntd_id=4041|route_ref=9
0811,811,15th St @ Fowler Av N,28.054805,-82.442925,ntd_id=4041|route_ref=9
0813,813,15th St @ 113th Av,28.051046,-82.442909,ntd_id=4041|route_ref=9
0815,815,15th St @ Poinsettia Av,28.041864,-82.44292,ntd_id=4041|route_ref=9
0816,816,15th St @ Seneca Av,28.045873,-82.442916,ntd_id=4041|route_ref=9
0817,817,15th St @ Bougainvillea Av,28.043723,-82.442919,ntd_id=4041|route_ref=9
0818,818,15th St @ 109th Av,28.047349,-82.442913,ntd_id=4041|route_ref=9
0819,819,15th St @ Linebaugh Av,28.040047,-82.442929,ntd_id=4041|route_ref=9
0821,821,15th St @ Diana St,28.007116,-82.443048,ntd_id=4041|route_ref=9
0822,822,15th St @ North St,28.00526,-82.443038,ntd_id=4041|route_ref=9
0823,823,15th St @ Hanna Av,28.003466,-82.443028,ntd_id=4041|route_ref=9
0824,824,15th St @ Idlewild Av,28.001655,-82.443028,ntd_id=4041|route_ref=9
0825,825,15th St @ Henry Av,27.999808,-82.443048,ntd_id=4041|route_ref=9
0826,826,15th St @ Comanche Av,27.997997,-82.443028,ntd_id=4041|route_ref=9
0827,827,15th St @ Hillsborough Av,27.996312,-82.443028,ntd_id=4041|route_ref=9
0828,828,15th St @ Frierson Av,27.994474,-82.443028,ntd_id=4041|route_ref=9
0829,829,15th St @ Wilder Av,27.992508,-82.443048,ntd_id=4041|route_ref=9
0830,830,15th St @ Ellicott St,27.991313,-82.443048,ntd_id=4041|route_ref=9
0831,831,15th St @ New Orleans Av,27.990317,-82.443027,ntd_id=4041|route_ref=9
0832,832,15th St @ Osborne Av,27.988881,-82.44298,ntd_id=4041|route_ref=9
0833,833,15th St @ Cayuga St,27.986386,-82.443037,ntd_id=4041|route_ref=9
0834,834,15th St @ Chelsea St,27.985254,-82.443037,ntd_id=4041|route_ref=9
0835,835,15th St @ North Bay St,27.983407,-82.443027,ntd_id=4041|route_ref=9
0836,836,15th St @ M L King Jr Blvd,27.981725,-82.442996,ntd_id=4041|route_ref=9
0837,837,15th St @ 31St Av,27.978801,-82.442998,ntd_id=4041|route_ref=9
0838,838,Busch Blvd @ Busch Plaza,28.032765,-82.402543,ntd_id=4041|route_ref=39
0839,839,Busch Blvd @ Temple St,28.032741,-82.407279,ntd_id=4041|route_ref=39
0840,840,Busch Blvd @ 46th St,28.032732,-82.409661,ntd_id=4041|route_ref=39
0841,841,Busch Blvd @ 42nd St,28.032734,-82.411901,ntd_id=4041|route_ref=39
0842,842,Busch Blvd @ 40th St,28.032724,-82.41583,ntd_id=4041|route_ref=39
0847,847,Busch Blvd @ 26th St,28.032674,-82.430231,ntd_id=4041|route_ref=39
0849,849,Busch Blvd @ 22nd St,28.032698,-82.433939,ntd_id=4041|route_ref=39
0851,851,Busch Blvd @ 19th St,28.032667,-82.437362,ntd_id=4041|route_ref=39
0852,852,Busch Blvd @ Elmer St,28.032695,-82.439792,ntd_id=4041|route_ref=39
0855,855,Busch Blvd @ 12th St,28.032907,-82.446895,ntd_id=4041|route_ref=39
0857,857,Busch Blvd @ Ola Av,28.03304,-82.463815,ntd_id=4041|route_ref=39
0858,858,Busch Blvd @  N Boulevard,28.033259,-82.467549,ntd_id=4041|route_ref=39
0859,859,Busch Blvd @ Florida Av,28.032864,-82.459974,ntd_id=4041|route_ref=39
