stop_id,stop_code,stop_name,stop_lat,stop_lon,OSM_TAGs
7368,,Ashley Dr @ Tyler St,27.951261,-82.461695,
7406,,Skipper Rd @ 42nd St,28.080382,-82.414472,FIXME=This bus stop could be redundant
7407,,N 42nd St @ Hellenic Dr,28.078251,-82.414225,FIXME=This bus stop could be redundant
7408,,N 42nd St @ Vanderbilt Dr,28.076159,-82.414134,FIXME=This bus stop could be redundant
7421,,N 42nd St @ Reuter Strasse Cr,28.07831,-82.414113,FIXME=This bus stop could be redundant
7423,,Bruce B Downs Blvd @ N 37th St,28.080805,-82.417712,FIXME=This bus stop could be redundant
7430,,N 42nd St @ Winding Moss Trail,28.076111,-82.414026,FIXME=This bus stop could be redundant
7433,,Bruce B Downs Bl @ Medical Park Dr,28.070736,-82.426213,FIXME=This bus stop could be redundant
7434,,Fletcher Av @ 42nd St Ws,28.0693011,-82.4145667,
7484,,Sheldon Rd @ Old Linebaugh Av F/S,28.040543,-82.582985,
7490,,30th St @ Va Hospital @ Sky Walk,28.064336,-82.426242,FIXME=This bus stop could be redundant
7581,,Fletcher Av @ Magnolia Dr,28.0690007,-82.4198081,
7590,,56th St @ E Fowler Av,28.0536608,-82.3938872,shelter=yes|shade=no|amenity=handicap_ramp
7593,,Manhattan Av @ Fair Oaks Av,27.900871,-82.518223,
7615,,Fowler Av @ 52nd St,28.0542455,-82.3979052,surface=paved|shade=no|shelter=no|bench=yes|wastebasket=no
7688,,N 42nd St @ Lazy Oak Dr,28.072175,-82.414115,FIXME=This bus stop could be redundant
7689,,N 42nd St @ Lazy Oak Dr,28.072728,-82.413943,FIXME=This bus stop could be redundant
7691,,6th Medical Group @ MacDill AFB,27.859809,-82.49994,route_ref=24;25
7692,,6th Medical Graoup @ MacDill AFB,27.859918,-82.500122,route_ref=24;25
