stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
309,SW 72 ST@OLD CUTLER RD,,25.705306,-80.26141,,
310,SW 37 AV@GRAND AV,,25.728036,-80.253525,,
311,SW 37 AV@SW 22 ST,,25.749639,-80.254444,,
312,SW 37 AV@W FLAGLER ST,,25.771321,-80.255372,,
316,PALM AV@E 49 ST,,25.867277,-80.282971,,
317,W 3 CT@W 74 PL,,25.889644,-80.290685,,
318,US 1@#33501 (WALMART),,25.457782,-80.472076,,
321,SW 112 AV@SW 216 ST,,25.567193,-80.37211,,
322,SW 216 ST@SW 112 AV,,25.566732,-80.372316,,
326,SW 8 ST@SW 129 PL,,25.760817,-80.405223,,
327,SW 18 ST@SW 127 AV,,25.751266,-80.39927,,
329,SW 42 ST@SW 127 AV,,25.729565,-80.399194,,
330,SW 40 ST@SW 107 AV,,25.732216,-80.36708,,
331,SW 40 ST@SW 87 AV,,25.732969,-80.33497,,
332,SW 40 ST@SW 67 AV,,25.733275,-80.303252,,
337,SW 40 ST@SW 67 AV,,25.733554,-80.30267,,
338,SW 40 ST@SW 87 AV,,25.733225,-80.335175,,
339,SW 40 ST@SW 107 AV,,25.732489,-80.367576,,
340,SW 42 ST@SW 127 AV,,25.729758,-80.39917,,
342,SW 18 ST@SW 127 AV,,25.751334,-80.401201,,
344,NW 22 AV@ALI BABA AV,,25.909214,-80.236135,,
345,E 8 AV@E 49 ST,,25.86684,-80.266909,,
346,NW 37 AV@# 8303 (AMTRAK),,25.849302,-80.257825,,
347,SW 42 AV@CORAL WY,,25.749606,-80.262854,,
348,SW 40 ST@SW 42 AV,,25.734663,-80.261769,,
351,SW 40 ST@SALZEDO ST,,25.734787,-80.262094,,
352,SW 42 AV@CORAL WY,,25.749069,-80.262608,,
353,Okeechobee Rd & Lejeune Rd,,25.810884,-80.26468,,
355,E 8 AV@E 49 ST,,25.866924,-80.266633,,
356,NW 22 AV@ALI BABA AV,,25.909473,-80.235863,,
358,SW 137 AV@SW 18 ST,,25.750448,-80.416654,,
359,5 ST@LENOX AV,,25.774158,-80.139677,,
360,LINCOLN RD@WASHINGTON AV,RAMP,25.790629,-80.131257,,
362,19 ST@CONVENTION CENTER DR,NW 21ST ST & RAMP,25.794992,-80.135541,,
363,LINCOLN RD@WASHINGTON AV,,25.790785,-80.131628,,
364,5 ST@LENOX AV,,25.77458,-80.139706,,
365,SW 137 AV@SW 18 ST,,25.750058,-80.416351,,
367,S DADE HEALTH CTR@10300 SW 216 ST,,25.565732,-80.357201,,
369,SW 200 ST@QUAIL ROOST DR,QUAIL ROOST DR & 200TH BLVD,25.581395,-80.392769,,
371,SW 112 AV@SW 152 ST,,25.628521,-80.374402,,
375,PONCE DE LEON BD@MERRICK ST,,25.715539,-80.276754,,
376,SW 112 AV@SW 152 ST,,25.628271,-80.374663,,
377,US 1@BANYAN ST,,25.608349,-80.349795,,
378,SW 122 AV@SW 181 TE,,25.599123,-80.389148,,
384,W 49 ST@W 17 CT,,25.866464,-80.317262,,
385,W 8 AV@W 29 ST,,25.847317,-80.298361,,
388,Hialeah Dr & E 4 Ave,,25.822873,-80.273302,,
389,NW 37 AV@NW 58 ST,,25.826788,-80.257234,,
390,NW 54 ST@NW 32 AV,,25.823613,-80.248208,,
392,NW 54 ST@NW 12 AV,,25.824619,-80.215212,,
395,NW 54 ST@NW 12 AV,,25.824745,-80.216656,,
397,NW 54 ST@NW 32 AV,,25.823738,-80.249314,,
399,HIALEAH DR@E 4 AV,,25.823005,-80.273611,,
401,OKEECHOBEE RD STA@2005 W OKEECHOBEE,OKEECHOBEE RD STA & 2005 W OKEECHOBEE RD,25.839838,-80.301051,,
402,W 8 AV@W 29 ST,,25.847829,-80.298184,,
403,W 49 ST@W 17 CT (WESTLAND),,25.866711,-80.318198,,
406,SW 56 ST@SW 152 AV,,25.713634,-80.437277,,
408,SW 117 AV@SW 88 ST,,25.686328,-80.384579,,
409,SW 56 ST@SW 107 AV,,25.715358,-80.366358,,
410,SW 56 ST@SW 107 AV,,25.715566,-80.366576,,
411,SW 117 AV@SW 89 ST,,25.685732,-80.384806,,
413,SW 56 ST@SW 147 AV,,25.714071,-80.430891,,
415,SW 92 AV@SW 152 ST,,25.629616,-80.341661,,
416,SW 77 AV@SW 124 ST,,25.655314,-80.318111,,
417,SW 111 ST@SW 57 AV,,25.668332,-80.284431,,
418,SW 57 AV@SW 111 ST,,25.669113,-80.284189,,
419,SW 124 ST@SW 77 AV,,25.655561,-80.31781,,
421,W 3 ST@PALM AV,,25.824365,-80.281805,,
422,E 9 ST@E 8 AV,,25.830467,-80.265148,,
423,NW 62 ST@NW 32 AV,,25.830844,-80.249609,,
425,NW 62 ST@NW 7 AV,,25.832202,-80.208837,,
426,NE 61 ST@BISCAYNE BD,,25.832601,-80.184363,,
430,INDIAN CREEK DR@41 ST,,25.813259,-80.123953,,
432,NW 7 AV@NW 62 ST,,25.832614,-80.208598,,
433,NW 62 ST@NW 32 AV,,25.831122,-80.249006,,
434,E 9 ST@E 8 CT,,25.830627,-80.264632,,
436,SW 136 St & US # 1,,25.643851,-80.334111,,
437,Old Cutler Rd & SW 57 Ave,,25.663668,-80.283929,,
438,Old Cutler Rd & SW 57 Ave,,25.663668,-80.283929,,
439,SW 136 St & US # 1,,25.643851,-80.334111,,
440,OLD CUTLER RD@SW 92 AV,,25.576599,-80.339775,,
441,SW 87 AV@SW 207 ST,,25.575367,-80.331709,,
443,SW 268 ST@SW 119 PL,,25.51848,-80.371938,,
444,NARANJA LAKES BD@SW 145 AV,,25.508966,-80.425735,,
445,NW 8 ST@KROME AV,,25.477238,-80.477916,,
446,NW 8 ST@KROME AV,,25.47708,-80.478221,,
447,NARANJA LAKES BD@SW 145 AV,,25.509075,-80.426018,,
448,SW 268 ST@SW 119 PL,,25.51848,-80.371938,,
449,SW 85 AV@SW 212 ST,,25.570762,-80.326373,,
450,SW 207 ST@SW 85 AV,,25.57519,-80.32718,,
451,OLD CUTLER RD@SW 92 CT,,25.576409,-80.340265,,
453,SW 107 AV@W FLAGLER ST,,25.767969,-80.369078,,
455,SW 107 AV@SW 24 ST,,25.746214,-80.367829,,
456,SW 112 AV@SW 40 ST,,25.731521,-80.375812,,
457,SW 107 AV@SW 72 ST,,25.700649,-80.366246,,
458,SW 107 AV@SW 72 ST,,25.700466,-80.366048,,
459,SW 112 AV@SW 40 ST,,25.733048,-80.37564,,
460,SW 107 AV@SW 24 ST,,25.746299,-80.3676,,
465,SW 56 ST@SW 137 AV,,25.714323,-80.41556,,
466,SW 72 ST@SW 137 AV,,25.699847,-80.413855,,
467,SW 72 ST@SW 107 AV,,25.700998,-80.366412,,
468,SW 72 ST@SW 87 CT,,25.702149,-80.3351,,
470,MIAMI CHILDRENS HOSP@PAVILLION ENTR,MIAMI CHILDRENS HOSP & PAVILLION ENTRANCE,25.740778,-80.294002,,
473,SW 72 ST@SW 87 AV,,25.702428,-80.334609,,
474,SW 72 ST@SW 107 AV,,25.701192,-80.366756,,
475,SW 72 ST@SW 137 AV,,25.700084,-80.41388,,
476,SW 56 ST@SW 129 CT,,25.714948,-80.404274,,
477,SW 56 ST@SW 137 AV,,25.714567,-80.415688,,
480,SW 67 AV@SW 24 ST,,25.748446,-80.303455,,
481,SW 67 AV@SW 16 ST,,25.75543,-80.303572,,
482,W FLAGLER ST@# 7167,,25.770389,-80.310995,,
483,NW 72 AV@NW 22 ST,,25.794218,-80.312703,,
485,W 12 AV@W 48 ST,,25.865749,-80.306691,,
