from_stop_id,to_stop_id,transfer_type,min_transfer_time
10914,10912,2,240
10916,10913,2,320
10914,10913,2,250
10912,10913,2,140
10918,10913,2,350
10917,10913,2,340
10913,10913,2,120
10911,10913,2,160
10915,10913,2,240
10917,10914,2,270
10911,10914,2,220
10916,10914,2,250
10912,10914,2,240
10915,10914,2,160
10913,10914,2,250
10914,10914,2,120
10918,10914,2,280
10917,10915,2,280
10911,10915,2,240
10916,10915,2,260
10914,10915,2,160
10918,10915,2,290
10912,10915,2,260
10915,10915,2,120
10913,10915,2,270
10917,10916,2,140
10915,10916,2,200
10911,10916,2,280
10913,10916,2,310
10916,10916,2,120
10914,10916,2,260
10918,10916,2,160
10912,10916,2,300
10917,10917,2,120
10913,10917,2,330
10911,10917,2,300
10916,10917,2,140
10915,10917,2,220
10912,10917,2,320
10918,10917,2,140
10914,10917,2,280
10915,10918,2,230
10914,10918,2,290
10918,10918,2,120
10916,10918,2,150
10912,10918,2,330
10913,10918,2,340
10911,10918,2,310
10917,10918,2,140
10914,10921,2,300
10917,10921,2,240
10913,10921,2,360
10915,10921,2,270
10912,10921,2,350
10916,10921,2,220
10911,10921,2,330
10921,10921,2,120
10918,10921,2,250
10922,10922,2,120
10916,10922,2,280
10914,10922,2,320
10915,10922,2,290
10912,10922,2,360
10918,10922,2,310
10917,10922,2,300
10913,10922,2,370
10931,10922,2,300
10911,10922,2,340
10932,10922,2,300
10916,10931,2,310
10918,10931,2,340
10915,10931,2,270
10931,10931,2,120
10922,10931,2,300
10913,10931,2,210
10912,10931,2,200
10917,10931,2,330
10911,10931,2,180
10914,10931,2,270
10913,10932,2,200
10918,10932,2,330
10915,10932,2,260
10914,10932,2,280
10912,10932,2,190
10916,10932,2,300
10911,10932,2,170
10932,10932,2,120
10922,10932,2,300
10917,10932,2,320
10822,11111,2,260
10841,11111,2,440
10811,11111,2,370
10814,11111,2,190
10821,11111,2,260
10843,11111,2,340
10812,11111,2,360
10832,11111,2,370
10813,11111,2,360
10831,11111,2,360
10842,11111,2,340
10841,11112,2,430
10812,11112,2,360
10822,11112,2,250
10811,11112,2,370
10842,11112,2,330
10831,11112,2,350
10832,11112,2,360
10843,11112,2,330
10821,11112,2,250
10814,11112,2,190
10813,11112,2,360
10811,11212,2,500
10812,11212,2,400
10814,11212,2,240
11212,11212,2,120
10813,11212,2,400
11311,11311,2,120
11321,11311,2,240
11312,11312,2,120
11321,11312,2,240
11313,11313,2,120
11331,11331,2,120
11313,11331,2,300
11312,11331,2,360
11332,11332,2,120
11313,11332,2,300
11312,11332,2,360
11411,11411,2,120
11412,11412,2,120
11511,11511,2,120
11521,11521,2,120
11522,11522,2,120
