operator_name,operator_abbreviation,ntd_id,gtfs_url,stop_digits
Green Bay Metro ,GBM,5002,,
Greene County Transit Board ,Greene CATS,5165,,
Greensboro Transit Authority ,GTA,4093,,
Greenville Transit Authority ,GTA,4053,,
Guildford County Transportation ,GCTAMS,4133,,
Gwinnett County Board of Commissioners ,GCT,4138,,
Hammond Transit System ,HTS,5102,,
Handitran Special Transit Division - City of Arlington ,Handitran,6041,,
Harford Transit ,HT,3074,,
"Hendrick Hudson Bus Lines, Inc. ",HHBL,2179,,
Hernando County Board of County Commissioners ,The Bus,4146,,
High Point Transit ,Hi tran,4011,,
Hill Country Transit District ,The Hop,6091,,
Hillsborough Area Regional Transit,HART,4041,http://www.gohart.org/google/google_transit.zip,
"Honolulu - VPSI, Inc. ",,9176,,
Housatonic Area Regional Transit ,HART,1051,,
Howard Transit ,HT,3048,,
"Hudson Transit Lines, Inc. ",Short Line,2126,,
Huntington Area Rapid Transit ,HART,2071,,
Imperial Valley Transit ,IVT,9212,,
Indianapolis and Marion County Public Transportation ,IndyGo,5050,,
Intercity Transit ,I.T.,19,,
Interurban Transit Partnership ,The Rapid,5033,,
Iowa City Transit ,ICT,7018,,
Island Transit ,I T,6015,,
Jackson Transit Authority ,JTA,4057,,
Jacksonville Transportation Authority ,JTA,4040,,
Janesville Transit System ,JTS,5108,,
"JAUNT, Inc. ",,3045,,
Jefferson Parish Department of Transit Administration ,Jet,6088,,
Johnson City Transit System ,JCT,4054,,
"Johnson County Kansas, aka: Johnson County Transit ",The JO,7035,http://www.thejo.com/FEEDS/GT/google_transit.zip,
Kalamazoo Metro Transit System ,Metro Transit,5035,,
Kanawha Valley Regional Transportation Authority ,KVRTA,3001,,
Kansas City Area Transportation Authority ,KCATA,7005,,
Kenosha Transit ,KT,5003,,
King County Department of Transportation - Metro Transit Division ,King County Metro,1,,
Kings County Area Public Transit Agency ,KART,9200,,
Kingsport Area Transit System ,K.A.T.S.,4080,,
Kitsap Transit ,,20,,
Knoxville Area Transit ,KAT,4002,,
LACMTA - Small Operators ,LACMTA,9166,,
LaCrosse Municipal Transit Utility ,La Crosse MTU,5004,,
Lafayette Transit System ,LTS,6038,,
Laguna Beach Municipal Transit ,CLB,9119,,
Lake County Board of County Commissioners ,LCBOCC,4158,,
Lakeland Area Mass Transit District ,Citrus Connection,4031,,
"Lakeland Bus Lines, Inc. ",,2163,,
Laketran ,,5117,,
Lane Transit District ,LTD,7,,
"Laredo Transit Management, Inc. ",El Metro,6009,,
Las Cruces Area Transit ,RoadRUNNER Transit,6049,,
Las Vegas Monorail Company ,LVMC,9204,,
Lee County Transit ,LeeTran,4028,,
Lee-Russell Council of Governments ,LRCOG,4073,,
Lehigh and Northampton Transportation Authority ,LANTA,3010,,
Lewiston-Auburn Transit Committee ,LATC,1015,,
Lexington Transit Authority ,LexTran,4017,,
Licking County Transit Board ,LCTB,5163,,
Link Transit ,,43,,
Livermore / Amador Valley Transit Authority ,LAVTA,9144,,
Livingston Essential Transportation Service ,LETS,5180,,
Long Beach Transit ,LBT,9023,,
Longview Transit ,LTMI,6081,,
Lorain County Transit ,LCT,5095,,
Los Angeles County Metropolitan Transportation Authority ,LACMTA,9154,http://developer.metro.net/gtfs/google_transit.zip,
Loudoun County Commuter Bus Service - Office of Transportation Services ,LC Transit,3081,,
Lowell Regional Transit Authority ,LRTA,1005,,
Lower Rio Grande Valley Development Council ,LRGVDC,6090,,
Luzerne County Transportation Authority ,LCTA,3015,,
Macatawa Area Express Transportation Authority ,MAX,5184,,
Macon-Bibb County Transit Authority ,MTA ,4130,,
